90001,1,1
90017,1,3
90028,2,3
90032,2,6
90035,2,3
90051,1,2
90070,1,1
90078,0,2
90079,1,1
90083,3,4
90087,1,0
90089,1,3
90091,0,4
90092,1,2
90093,1,3
90113,2,4
90116,2,3
90132,1,3
90142,1,1
90144,0,0
90149,3,2
90154,1,3
90155,1,6
90162,2,5
90171,2,4
90174,0,0
90175,0,2
90192,1,4
90204,0,1
90206,1,4
90209,0,1
90212,0,4
90213,1,3
90219,1,3
90223,2,4
90224,0,4
90230,1,3
90236,0,2
90247,2,5
90252,3,4
90254,0,0
90256,2,5
90258,1,4
90260,0,1
90275,0,3
90279,2,3
90280,1,1
90290,0,0
90294,1,3
90299,1,1
90320,1,3
90322,0,2
90329,1,0
90335,1,3
90350,2,3
90352,1,2
90359,0,0
90368,2,2
90386,2,5
90388,2,0
90401,0,1
90403,2,5
90407,1,2
90410,1,3
90416,0,0
90417,1,4
90423,0,1
90432,1,2
90436,1,4
90444,1,3
90450,1,3
90468,1,2
90470,1,4
90472,1,1
90486,1,3
90487,2,1
90498,1,1
90503,0,3
90515,1,2
90516,1,3
90525,2,5
90538,1,2
90548,1,4
90549,1,4
90560,1,2
90561,1,3
90573,0,0
90576,2,5
90580,2,3
90581,2,4
90583,1,3
90587,1,1
90593,1,2
90595,1,3
90600,0,1
90605,2,5
90611,1,0
90613,1,4
90619,3,4
90622,0,3
90623,0,0
90626,1,4
90627,1,2
90646,1,0
90652,2,5
90657,1,1
90673,0,3
90681,0,3
90682,1,0
90686,1,2
90696,0,0
90697,2,4
90703,1,3
90707,2,5
90721,1,2
90723,1,3
90725,2,5
90729,1,0
90738,1,2
90739,0,0
90748,1,1
90756,2,5
90766,1,2
90767,1,2
90774,0,2
90785,2,4
90788,0,0
90789,1,3
90812,2,5
90816,1,3
90820,1,2
90826,2,5
90833,1,3
90845,2,5
90857,0,2
90861,3,4
90864,2,2
90873,1,3
90879,2,3
90882,1,2
90886,2,3
90897,1,3
90901,2,5
90902,3,4
90911,1,2
90914,1,3
90931,1,4
90934,1,1
90939,2,4
90946,1,5
90954,2,5
90958,1,1
90969,1,1
90977,1,3
90987,2,3
90995,1,2
90998,0,0
91003,1,3
91020,1,3
91043,0,1
91050,0,1
91060,1,3
91062,0,2
91071,1,0
91076,1,3
91079,1,2
91080,1,3
91050,0,1
91060,1,3
91062,0,2
91071,1,0
91076,1,3
91079,1,2
91080,1,3
91082,3,4
91083,2,3
91099,1,2
91114,3,4
91136,2,3
91138,2,5
91139,2,3
91143,2,4
91164,2,3
91170,1,2
91171,2,3
91172,1,4
91173,1,2
91185,2,3
91189,1,5
91192,1,2
91199,1,4
91204,2,5
91210,1,3
91217,1,3
91218,1,2
91222,1,2
91223,1,2
91226,2,5
91228,2,3
91236,1,3
91245,3,4
91261,1,0
91267,2,4
91270,1,1
91275,2,3
91276,1,3
91278,1,3
91288,1,4
91293,1,4
91294,2,3
91295,2,5
91297,0,1
91305,0,1
91314,0,0
91316,2,5
91317,1,2
91329,1,0
91338,0,0
91342,1,0
91345,1,3
91358,1,1
91361,1,2
91377,0,3
91380,2,5
91386,1,3
91387,0,2
91391,2,5
91399,1,4
91417,0,0
91418,1,1
91421,1,1
91432,3,4
91436,1,2
91438,0,0
91439,2,5
91450,0,0
91459,1,1
91461,1,2
91467,0,3
91473,0,2
91475,3,4
91478,0,3
91480,0,1
91487,1,3
91489,1,0
91501,3,4
91512,1,4
91513,1,2
91516,1,3
91519,1,1
91527,3,4
91533,3,4
91549,1,4
91559,1,3
91562,0,1
91565,2,0
91569,2,5
91577,1,1
91600,1,4
91607,2,5
91621,1,3
91630,0,4
91631,1,3
91632,1,2
91636,1,2
91640,1,2
91641,1,1
91647,0,4
91648,1,5
91653,1,2
91654,1,2
91673,1,1
91677,2,4
91680,1,3
91682,1,1
91688,0,0
91690,1,5
91705,0,2
91706,2,5
91710,1,2
91711,1,4
91717,1,4
91722,2,5
91740,0,0
91744,2,4
91745,2,3
91748,1,1
91749,2,5
91761,2,1
91762,1,3
91772,2,3
91774,1,4
91791,1,3
91793,0,1
91800,1,2
91803,2,2
91804,1,3
91806,1,3
91825,2,5
91830,1,3
91833,3,4
91835,1,1
91852,1,1
91854,1,4
91867,0,2
91872,2,3
91883,1,1
91884,1,2
91890,1,1
91897,2,5
91908,1,4
91909,1,0
91910,1,1
91913,2,3
91914,1,5
91921,2,5
91922,0,2
91925,2,4
91926,0,3
91927,2,5
91941,2,2
91945,1,2
91946,1,4
91947,1,4
91950,2,3
91957,0,1
91971,1,4
91972,1,2
91973,1,1
91974,1,3
91975,1,5
91984,1,2
91991,1,3
92001,1,3
92002,1,1
92024,1,0
92032,1,1
92039,1,3
92050,2,3
92053,1,3
92071,1,0
92095,2,3
92101,1,3
92102,2,5
92111,0,2
92122,1,2
92136,0,3
92138,2,5
92145,1,1
92147,1,5
92156,2,5
92160,2,2
92167,0,0
92168,0,1
92174,1,4
92176,1,2
92178,1,3
92183,2,0
92188,2,3
92196,1,3
92197,1,6
92207,1,1
92217,2,4
92225,2,5
92235,1,2
92237,0,0
92248,1,2
92259,2,4
92263,1,2
92265,1,2
92267,1,3
92272,0,2
92273,0,1
92284,0,1
92285,1,0
92291,0,0
92298,1,2
92303,0,2
92306,2,5
92309,1,2
92314,1,2
92317,0,0
92329,1,5
92330,1,2
92331,1,1
92332,1,2
92336,0,0
92347,1,2
92349,2,0
92351,1,2
92355,2,2
92356,2,5
92368,1,1
92370,0,3
92376,1,3
92379,1,2
92380,1,3
92388,1,4
92389,2,5
92400,2,1
92402,1,3
92403,1,3
92406,1,2
92409,3,4
92414,1,2
92420,1,3
92421,1,0
92433,2,3
92439,2,2
92441,0,0
92450,1,3
92452,0,2
92459,1,1
92460,0,0
92466,2,5
92470,1,3
92475,1,2
92476,2,3
92480,1,2
92491,1,2
92505,1,3
92506,1,2
92525,0,1
92531,1,3
92533,2,5
92549,1,2
92557,1,2
92558,1,4
92562,1,4
92569,1,4
92588,2,3
92592,2,5
92595,0,1
92598,3,3
92605,1,2
92611,2,4
92616,2,5
92625,0,3
92626,2,3
92641,2,4
92645,2,1
92654,2,3
92666,1,3
92668,0,0
92673,1,3
92693,1,3
92704,1,3
92709,1,4
92713,2,5
92733,1,2
92735,2,5
92745,1,6
92746,0,4
92749,3,4
92751,0,2
92765,0,0
92776,1,4
92797,0,0
92805,2,4
92811,1,3
92825,1,3
92829,1,6
92839,1,3
92845,2,3
92847,2,5
92851,2,3
92859,0,3
92860,2,5
92865,0,1
92884,1,4
92899,0,0
92901,1,2
92902,1,0
92906,1,3
92911,1,1
92916,1,4
92920,1,1
92926,1,2
92939,0,0
92940,1,2
92944,1,3
92952,0,0
92956,1,2
92958,1,1
92968,0,0
92974,1,1
93001,0,1
93002,2,5
93011,1,5
93013,2,2
93019,2,3
93021,2,3
93040,2,4
93055,1,3
93058,1,2
93059,4,3
93067,0,0
93077,0,0
93079,0,0
93082,1,2
93085,1,3
93094,1,4
93102,0,0
93103,0,0
93108,1,1
93120,1,3
93131,1,3
93137,0,1
93148,0,1
93159,2,3
93174,1,0
93177,1,2
93186,1,4
93203,1,1
93206,1,4
93213,0,1
93214,1,3
93219,1,2
93228,1,3
93231,1,3
93236,1,4
93243,1,2
93250,2,1
93251,0,3
93256,1,3
93269,1,0
93279,2,3
93282,2,4
93287,3,4
93297,3,4
93299,2,3
93305,2,5
93307,1,2
93314,1,4
93317,1,4
93318,1,2
93320,2,0
93323,2,5
93326,1,3
